year,variable,tech,carrier,sample,value
2050,final_energy_MWh,biomass,biomass,148,3.90053e+08
2050,final_energy_MWh,biomass,biomass,149,3.42845e+08
2050,final_energy_MWh,biomass,biomass,150,4.63389e+08
2050,final_energy_MWh,biomass,biomass,151,4.38546e+08
2050,final_energy_MWh,biomass,biomass,152,4.1853e+08
2050,final_energy_MWh,biomass,biomass,153,4.06239e+08
2050,final_energy_MWh,biomass,biomass,154,4.37009e+08
2050,final_energy_MWh,biomass,biomass,155,3.56912e+08
2050,final_energy_MWh,biomass,biomass,156,4.74151e+08
2050,final_energy_MWh,biomass,biomass,157,5.64574e+08
2050,final_energy_MWh,biomass,biomass,158,3.96811e+08
2050,final_energy_MWh,biomass,biomass,159,3.93292e+08
2050,final_energy_MWh,biomass,biomass,160,3.91723e+08
2050,final_energy_MWh,biomass,biomass,161,5.39343e+08
2050,final_energy_MWh,biomass,biomass,162,4.10201e+08
2050,final_energy_MWh,biomass,biomass,163,4.2478e+08
2050,final_energy_MWh,biomass,biomass,164,3.88706e+08
2050,final_energy_MWh,biomass,biomass,165,4.68432e+08
2050,final_energy_MWh,biomass,biomass,166,4.30028e+08
2050,final_energy_MWh,biomass,biomass,167,4.08007e+08
2050,final_energy_MWh,biomass,biomass,168,2.7488e+08
2050,final_energy_MWh,biomass,biomass,169,3.56665e+08
2050,final_energy_MWh,biomass,biomass,170,3.61798e+08
2050,final_energy_MWh,biomass,biomass,171,4.31425e+08
2050,final_energy_MWh,biomass,biomass,172,4.80734e+08
2050,final_energy_MWh,biomass,biomass,173,4.16291e+08
2050,final_energy_MWh,biomass,biomass,174,3.67358e+08
2050,final_energy_MWh,biomass,biomass,175,3.40713e+08
2050,final_energy_MWh,biomass,biomass,176,4.54815e+08
2050,final_energy_MWh,biomass,biomass,177,5.72239e+08
2050,final_energy_MWh,biomass,biomass,178,3.78209e+08
2050,final_energy_MWh,biomass,biomass,179,3.80554e+08
2050,final_energy_MWh,biomass,biomass,180,3.87184e+08
2050,final_energy_MWh,biomass,biomass,181,4.65935e+08
2050,final_energy_MWh,biomass,biomass,182,3.64928e+08
2050,final_energy_MWh,biomass,biomass,183,4.22852e+08
2050,final_energy_MWh,biomass,biomass,184,3.80828e+08
2050,final_energy_MWh,biomass,biomass,185,4.62659e+08
2050,final_energy_MWh,biomass,biomass,186,5.05163e+08
2050,final_energy_MWh,biomass,biomass,187,4.38269e+08
2050,final_energy_MWh,biomass,biomass,188,3.9417e+08
2050,final_energy_MWh,biomass,biomass,189,3.93328e+08
2050,final_energy_MWh,biomass,biomass,190,3.90462e+08
2050,final_energy_MWh,biomass,biomass,191,4.75706e+08
2050,final_energy_MWh,biomass,biomass,192,2.52387e+08
2050,final_energy_MWh,biomass,biomass,193,3.78855e+08
2050,final_energy_MWh,biomass,biomass,194,4.43606e+08
2050,final_energy_MWh,biomass,biomass,195,4.64551e+08
2050,final_energy_MWh,biomass,biomass,196,3.68479e+08
2050,final_energy_MWh,biomass,biomass,197,4.52817e+08
2050,final_energy_MWh,biomass,biomass,198,4.4563e+08
2050,final_energy_MWh,biomass,biomass,199,4.48723e+08
