country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
MT,hp_elec,2050,0.1,0.0,0,0.0,0.0,0.0,0
MT,thermal,2025,0.55,0.15,54,3.8,26.0,0.0,0
MT,thermal,2030,0.59,0.19,72,6.3,32.0,0.0,0
MT,thermal,2040,0.7,0.3,246,18.6,62.0,0.0,0
MT,thermal,2050,0.81,0.41,513,42.6,105.0,0.0,0
NL,total_elec,2025,20.12,0.0,0,0.0,0.0,0.0,0
NL,total_elec,2030,25.76,0.0,0,0.0,0.0,0.0,0
NL,total_elec,2040,29.89,0.0,0,0.0,0.0,0.0,0
NL,total_elec,2050,36.87,0.0,0,0.0,0.0,0.0,0
NL,hp_elec,2025,2.34,0.0,0,0.0,0.0,0.0,0
NL,hp_elec,2030,6.89,0.0,0,0.0,0.0,0.0,0
NL,hp_elec,2040,8.55,0.0,0,0.0,0.0,0.0,0
NL,hp_elec,2050,13.61,0.0,0,0.0,0.0,0.0,0
NL,thermal,2025,58.77,20.7,103,754.0,36.0,0.0,0
NL,thermal,2030,60.57,22.5,170,919.9,41.0,0.0,0
NL,thermal,2040,63.89,25.82,311,1440.1,56.0,0.0,0
NL,thermal,2050,67.01,28.94,426,2196.5,76.0,0.0,0
PL,total_elec,2025,28.18,20.92,7838,62422.3,2984.0,0.2,3
PL,total_elec,2030,34.05,17.21,2179,10894.4,633.0,0.3,3
PL,total_elec,2040,45.08,22.5,785,5429.8,241.0,4.4,3
PL,total_elec,2050,50.82,22.05,168,1236.0,56.0,5.0,3
PL,hp_elec,2025,2.0,0.0,0,0.0,0.0,0.0,0
PL,hp_elec,2030,5.83,0.0,0,0.0,0.0,0.0,0
PL,hp_elec,2040,14.2,0.0,0,0.0,0.0,0.0,0
PL,hp_elec,2050,16.29,0.0,0,0.0,0.0,0.0,0
PL,thermal,2025,125.86,44.33,103,1615.0,36.0,0.0,0
PL,thermal,2030,117.0,35.47,60,1063.6,30.0,0.0,0
PL,thermal,2040,100.43,18.9,36,376.5,20.0,0.0,0
PL,thermal,2050,85.69,4.16,12,28.6,7.0,0.0,0
PT,total_elec,2025,8.85,0.0,0,0.0,0.0,0.0,0
PT,total_elec,2030,9.7,0.0,0,0.0,0.0,0.0,0
PT,total_elec,2040,10.94,0.0,0,0.0,0.0,0.0,0
PT,total_elec,2050,11.94,0.0,0,0.0,0.0,0.0,0
PT,hp_elec,2025,1.48,0.0,0,0.0,0.0,0.0,0
PT,hp_elec,2030,1.58,0.0,0,0.0,0.0,0.0,0
PT,hp_elec,2040,1.7,0.0,0,0.0,0.0,0.0,0
PT,hp_elec,2050,1.54,0.0,0,0.0,0.0,0.0,0
PT,thermal,2025,11.97,3.29,54,89.8,27.0,0.0,0
PT,thermal,2030,11.43,2.75,42,66.5,24.0,0.0,0
PT,thermal,2040,10.36,1.68,36,29.1,17.0,0.0,0
PT,thermal,2050,9.27,0.59,12,4.8,8.0,0.0,0
RO,total_elec,2025,8.5,0.0,0,0.0,0.0,0.0,0
RO,total_elec,2030,10.63,0.0,0,0.0,0.0,0.0,0
RO,total_elec,2040,15.24,1.7,8,10.6,6.0,2.6,3
RO,total_elec,2050,17.96,0.0,0,0.0,0.0,4.7,2
RO,hp_elec,2025,0.18,0.0,0,0.0,0.0,0.0,0
RO,hp_elec,2030,1.71,0.0,0,0.0,0.0,0.0,0
RO,hp_elec,2040,5.71,0.0,0,0.0,0.0,0.0,0
RO,hp_elec,2050,7.29,0.0,0,0.0,0.0,0.0,0
RO,thermal,2025,44.58,15.71,103,573.1,36.0,0.0,0
RO,thermal,2030,43.49,14.62,97,489.0,33.0,0.0,0
RO,thermal,2040,42.04,13.17,60,407.5,31.0,0.0,0
RO,thermal,2050,41.55,12.68,60,382.5,30.0,0.0,0
SE,total_elec,2025,26.23,3.02,108,134.3,44.0,1.3,3
SE,total_elec,2030,28.92,5.8,190,323.2,56.0,2.0,3
SE,total_elec,2040,32.9,7.72,169,495.9,64.0,2.7,3
SE,total_elec,2050,36.03,10.02,202,784.4,78.0,0.5,3
SE,hp_elec,2025,5.41,0.0,0,0.0,0.0,0.0,0
SE,hp_elec,2030,6.02,0.0,0,0.0,0.0,0.0,0
SE,hp_elec,2040,6.89,0.0,0,0.0,0.0,0.0,0
SE,hp_elec,2050,6.74,0.0,0,0.0,0.0,0.0,0
SE,thermal,2025,33.96,11.69,97,408.5,35.0,0.0,0
SE,thermal,2030,34.59,12.32,103,457.5,37.0,0.0,0
SE,thermal,2040,35.45,13.18,170,537.2,41.0,0.0,0
SE,thermal,2050,36.15,13.88,220,638.9,46.0,0.0,0
SI,total_elec,2025,2.57,0.4,229,31.4,78.0,0.0,3
SI,total_elec,2030,2.98,0.81,1135,255.7,315.0,0.0,3
SI,total_elec,2040,3.76,1.17,562,195.7,167.0,0.1,3
SI,total_elec,2050,4.29,1.28,149,70.2,55.0,0.0,3
SI,hp_elec,2025,0.39,0.0,0,0.0,0.0,0.0,0
SI,hp_elec,2030,0.61,0.0,0,0.0,0.0,0.0,0
SI,hp_elec,2040,1.12,0.0,0,0.0,0.0,0.0,0
SI,hp_elec,2050,1.35,0.0,0,0.0,0.0,0.0,0
SI,thermal,2025,7.83,2.76,103,100.6,36.0,0.0,0
SI,thermal,2030,7.78,2.71,103,97.0,36.0,0.0,0
SI,thermal,2040,7.68,2.61,97,88.8,34.0,0.0,0
SI,thermal,2050,7.54,2.47,72,79.5,32.0,0.0,0
SK,total_elec,2025,4.86,0.0,0,0.0,0.0,0.0,0
SK,total_elec,2030,5.69,0.0,0,0.0,0.0,0.0,0
SK,total_elec,2040,7.27,0.0,0,0.0,0.0,0.0,0
SK,total_elec,2050,8.34,0.0,0,0.0,0.0,0.0,0
SK,hp_elec,2025,0.43,0.0,0,0.0,0.0,0.0,0
SK,hp_elec,2030,0.88,0.0,0,0.0,0.0,0.0,0
SK,hp_elec,2040,1.96,0.0,0,0.0,0.0,0.0,0
SK,hp_elec,2050,2.43,0.0,0,0.0,0.0,0.0,0
