country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
EE,total_elec,2050,2.532487210832511,0.2,407.4649925981,1.5145623973444324,606.832911487813,400.66550744413524,527.743557308293,79.08935417952,1.5145624,0.192294242,3,0.224,169274098.17851958,Optimal,136
EL,total_elec,2025,9.653701671403377,6.0,20436.3305443488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,2077318870.6950674,Optimal,10
EL,total_elec,2030,10.889797306680668,6.0,22652.602779932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,2709925365.250436,Optimal,10
EL,total_elec,2040,13.301507496455866,5.5,16708.338072268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.275,2510738784.1447926,Optimal,10
EL,total_elec,2050,15.29707204892919,5.0,12877.419036215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,2082964683.1275814,Optimal,10
ES,total_elec,2025,41.81074954509109,27.0,58636.82134518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.35,5519911807.455062,Optimal,10
ES,total_elec,2030,46.77086140348111,26.0,53767.415649667404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.3,6617901782.237501,Optimal,10
ES,total_elec,2040,55.815796837923855,22.0,54720.622517129996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1,8439598763.6516485,Optimal,10
ES,total_elec,2050,63.038300154752775,18.0,44620.8639787441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,7609180501.081878,Optimal,10
FI,total_elec,2025,15.59748491745474,1.0,3974.3890863746997,6.182588934123211,4305.1270001841,696.3307840867534,3842.1223884164,463.0046117677,6.182589,1.20010575,3,0.803,1193692839.3920383,Optimal,186
FI,total_elec,2030,17.651941175824252,1.0,5168.3118038982,7.8889410641275965,6835.081728471841,866.4130804008869,6141.298320092601,693.78340837924,7.888941,1.8905154600008018,3,1.227,1814760938.8941846,Optimal,186
